url,day,lobby,type,description
https://overstat.gg/tournament/VESA%20League/_lK5y1/standings/overall/player-standings,1,1,player,Placements Day 1 - Lobby I
https://overstat.gg/tournament/VESA%20League/_HGSc9/standings/overall/player-standings,1,2,player,Placements Day 1 - Lobby II
https://overstat.gg/tournament/VESA%20League/_sVkvU/standings/overall/player-standings,1,3,player,Placements Day 1 - Lobby III
https://overstat.gg/tournament/VESA%20League/_d5oSO/standings/overall/player-standings,1,4,player,Placements Day 1 - Lobby IV
https://overstat.gg/tournament/VESA%20League/_5s8FT/standings/overall/player-standings,1,5,player,Placements Day 1 - Lobby V
https://overstat.gg/tournament/VESA%20League/_584AB/standings/overall/player-standings,1,6,player,Placements Day 1 - Lobby VI
https://overstat.gg/tournament/VESA%20League/_oSqSC/standings/overall/player-standings,2,1,player,Placements Day 2 - Lobby I
https://overstat.gg/tournament/VESA%20League/_b4gbt/standings/overall/player-standings,2,2,player,Placements Day 2 - Lobby II
https://overstat.gg/tournament/VESA%20League/_ZgPhF/standings/overall/player-standings,2,3,player,Placements Day 2 - Lobby III
https://overstat.gg/tournament/VESA%20League/_FHlbj/standings/overall/player-standings,2,4,player,Placements Day 2 - Lobby IV
https://overstat.gg/tournament/VESA%20League/_RuuRy/standings/overall/player-standings,2,5,player,Placements Day 2 - Lobby V
https://overstat.gg/tournament/VESA%20League/_9uCHc/standings/overall/player-standings,2,6,player,Placements Day 2 - Lobby VI
https://overstat.gg/tournament/VESA%20League/_HAWAL/standings/overall/player-standings,3,1,player,Placements Day 3 - Lobby I
https://overstat.gg/tournament/VESA%20League/_EoBzi/standings/overall/player-standings,3,2,player,Placements Day 3 - Lobby II
https://overstat.gg/tournament/VESA%20League/_uvcBu/standings/overall/player-standings,3,3,player,Placements Day 3 - Lobby III
https://overstat.gg/tournament/VESA%20League/_INLc0/standings/overall/player-standings,3,4,player,Placements Day 3 - Lobby IV
https://overstat.gg/tournament/VESA%20League/_5fdPw/standings/overall/player-standings,3,5,player,Placements Day 3 - Lobby V
https://overstat.gg/tournament/VESA%20League/_lamVv/standings/overall/player-standings,3,6,player,Placements Day 3 - Lobby VI
https://overstat.gg/tournament/VESA%20League/_ZnatT/standings/overall/player-standings,4,1.5,player,Placements Day 4 - Lobby 1.5
https://overstat.gg/tournament/VESA%20League/_E0NNE/standings/overall/player-standings,4,2.5,player,Placements Day 4 - Lobby 2.5
https://overstat.gg/tournament/VESA%20League/_VXXwk/standings/overall/player-standings,4,3.5,player,Placements Day 4 - Lobby 3.5
https://overstat.gg/tournament/VESA%20League/_xFfbM/standings/overall/player-standings,4,4.5,player,Placements Day 4 - Lobby 4.5
https://overstat.gg/tournament/VESA%20League/_zIf5L/standings/overall/player-standings,4,5.5,player,Placements Day 4 - Lobby 5.5
