en,Team Name,Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 1 In-Game-Name (this needs to be the same for every match day),Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 2 In-Game-Name (this needs to be the same for every match day),Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Rostered Player 3 In-Game-Name (this needs to be the same for every match day),Have you and your teammates played in Void Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,,
26/03/2025 16:38:12,Waffle Cone,"tsfmonty, stabjackal, exillade",tsfmonty,https://overstat.gg/player/1120369.tsfmonty/overview,tsfmonty,stabjackal,https://overstat.gg/player/1065768.F5%20%7C%20Stabjackal%20TTV/overview,F5 | Stabjackal | TTV,Exillade,https://overstat.gg/player/2170808.Exillade/overview,Exillade,"Yes, all 3 have",5,Platinum,All PC,,3 Returning Players
26/03/2025 16:57:55,ByFire,Slytitan,Slytitan,https://overstat.gg/player/286740/overview,BYF SlyTitan,Lau,https://overstat.gg/player/749175/overview,BYF Lau,YoJokerz,https://overstat.gg/player/74046.ONYX%20YoJokerzz/overview,YoJokerz,"Yes, all 3 have",5,Masters,All PC,,1 Returning Player
26/03/2025 17:14:07,FALN,ftf_johnny,Stats,https://overstat.gg/player/1585402.MOTL%20%7C%20Stats/overview,FALN | Stats,Cwelk,https://overstat.gg/player/753179.Miriahkay19/overview,FALN | Cwelk,Johnny,https://overstat.gg/player/307553.JohnnyK/overview,FALN | Johnny,"Yes, all 3 have",4,Diamond,"Some PC, some console",,New Players
26/03/2025 17:33:32,The Cult,zourafa12,zourafa12,https://overstat.gg/player/1035913/overview,zourafa12,bugg8751,https://overstat.gg/player/1035914/overview,laceycs,indigocross92,https://overstat.gg/player/961161/overview,indigocross92,"Yes, all 3 have",5,Diamond,"Some PC, some console",,
26/03/2025 17:36:27,Dino Nugs,Tay,Tay,https://overstat.gg/player/91574.Tay/overview,Tay,ClarkGriswold,https://overstat.gg/player/195436.ClarkGriswold/overview,ClarkGriswold,ayla,https://overstat.gg/player/192627.ayla/overview,ayla,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 17:40:00,BoysNightOut,KindlyMonkey,KindlyMonkey,https://overstat.gg/player/2887074.BNO_KindlyMonkey/overview,KindlyMonkey,Meepmoe6,https://overstat.gg/player/3305957/overview,Meepmoe6,Dayo,https://overstat.gg/player/3588505.rocky1234-oderin/overview,Rocky1234-oderin,"1 of us has, 2 have not",4,Platinum,"Some PC, some console",,
26/03/2025 17:40:12,Bots,Ace,Ace,https://overstat.gg/player/753386.Viva%20Acee/overview,Viva Acee,vivagrad,https://overstat.gg/player/753387.Viva%20Grad/overview,Viva Grad,thrax8273,https://overstat.gg/player/3345013.Bigg%20thrax/overview,Bigg Thrax,"Yes, all 3 have",4,Gold,"Some PC, some console",,
26/03/2025 17:40:43,Hooligang,C0ozer,C0ozer,https://overstat.gg/player/110159.@C0ozer/overview,@C0ozer,moonfx,https://overstat.gg/player/291.MoonFX/overview,MoonFX,nevanthejaraffe,https://overstat.gg/player/1918.NEVANtheJARAFFE/overview,NEVANtheJARAFFE,"Yes, all 3 have",5,Masters,All PC,,
26/03/2025 17:42:34,Just Worse,negativarush,negativarush,https://overstat.gg/player/2014152.negativarush/overview,negativarush,Greywaren99,https://overstat.gg/player/2113009.Greywaren99/overview,greywaren99,Samus54,https://overstat.gg/player/2221517.Samus54/overview,Samus54,"Yes, all 3 have",3,Platinum,"Some PC, some console",,
26/03/2025 17:45:32,Hangin' Brain,hpandthesorcerorstiddy,hpandthesorcerorstiddy,https://overstat.gg/player/3087364.:O/overview,:O,Twixbarky,https://overstat.gg/player/3335657.Kitkat%20%20%3E:)/overview,KitKat >:),Mauser,https://overstat.gg/player/3335658/overview,Bolbi Stroganovsky,"Yes, all 3 have",3,Platinum,All PC,,
26/03/2025 17:46:48,Turbo Shandy,WhySoSweaty,WhySoSweaty,https://overstat.gg/player/1383023.WhySoSweatyy/overview,WhySoSweatyy,splitbomb,https://overstat.gg/player/1383012.splitbomb33/overview,splitbomb33,JRob,https://overstat.gg/player/2000349.JRobx/overview,JRobx,"Yes, all 3 have",2,Platinum,All PC,,
26/03/2025 17:47:07,Exolved Esports,Keosha,Keosha,https://overstat.gg/player/129014.Ex%20Keosha/overview,Ex Keosha,Krit,https://overstat.gg/player/200087.Ex%20Krit/overview,Ex Krit,Xomandii,https://overstat.gg/player/1944788.Ex%20Mandii/overview,Ex Mandii,"Yes, all 3 have",5,Platinum,All PC,,
26/03/2025 17:48:28,Harry's Got 2 Dad's,GraffixFPS,GraffixFPS,https://overstat.gg/player/753161.Graffix/overview,Graffix,Heret1c,https://overstat.gg/player/205283.heret1c/overview,Heret1c,Muggso,https://overstat.gg/player/753162.LB%20Muggso/overview,Muggso,"2 of us have, 1 has not",4,Diamond,All PC,,
26/03/2025 17:48:46,Hells Kitchen,@arifgc,@arifgc,https://overstat.gg/player/1537644/overview,Ari?,@eclipse_eh,https://overstat.gg/player/287978/overview,Eclipse EH / Frank Newcastle,@saaaber,https://overstat.gg/player/21592/overview,Harry Poggers,"Yes, all 3 have",4,Diamond,All PC,,
26/03/2025 17:49:50,FCK,LastCall,LastCall,https://overstat.gg/player/407477.Lastcall/overview,LastCall,Shouli,https://overstat.gg/player/1405218/overview,Shouli,PGK,https://overstat.gg/player/2197834/overview,Land Loot Shoot,"Yes, all 3 have",5,Masters,All PC,,
26/03/2025 17:53:51,GAYMERTOWN,lumdum,lumdum,https://overstat.gg/player/77595/overview,lumdum,torch5926,https://overstat.gg/player/2112261/overview,Torch,l6mi,https://overstat.gg/player/405218.SoaR%20Lumi/overview,LUMI,"2 of us have, 1 has not",2,Gold,All PC,,
26/03/2025 17:54:16,The Backyard,ehayes121,ehayes121,https://overstat.gg/player/1621028.ehayes121/overview,ehayes121,moistknight. ,https://overstat.gg/player/1621027.MoistKnight2443/overview,MoistKnight2443,bsteph.,https://overstat.gg/player/2142410.Bsteph13/overview,Bsteph13,"Yes, all 3 have",5,Gold,All console,,
26/03/2025 17:54:51,Diamond Dawgs,olivergrant86,olivergrant86,https://overstat.gg/player/91580/overview,groliver86,crashingintomars,https://overstat.gg/player/117451/overview,Crash,mattyk3ng,https://overstat.gg/player/91580/overview,Mattyk3ng,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 17:56:55,Rusty Animals,eR4Ticate13,eR4ticate13,https://overstat.gg/player/3380059.eR4Ticate13,eR4Ticate13,A_Fox_With_Sox,https://overstat.gg/player/3380058.A_Fox_With_Sox,A_Fox_With_Sox,FadingMetal69,https://overstat.gg/player/3380057.FadingMetal63,FadingMetal69,None of us have played in the void leagues before,4,Platinum,All console,,
26/03/2025 17:57:08,Happy2BeHere,TheMauFactor,Themaufactor,https://overstat.gg/player/317145/overview,Themaufactor,Goodlookingsean,https://overstat.gg/player/290364.@goodlookingsean/overview,Goodlookingsean,Raptureisland,https://overstat.gg/player/1055.RaptureIsland/overview,R A P T U R E,"Yes, all 3 have",5,Masters,All PC,,
26/03/2025 18:00:05,OMG we love apex ,Mereoleona.-.,Mereoleona.-.,https://overstat.gg/player/82449.mereoleona%3C3/overview,Mereoleona<3,Clockwork6881,https://overstat.gg/player/1113013/overview,Itzclockwork,Huckleberry2319,https://overstat.gg/player/2471367/overview,Nightnight19,"2 of us have, 1 has not",5,Diamond,All PC,,
26/03/2025 18:05:59,Osaka,spaceman,spaceman,https://overstat.gg/player/2189472.spaceman/overview,spaceman,Eclipsie13,https://overstat.gg/player/2498880/overview,Eclipsie13_TTV,Winterdeadeye23,https://overstat.gg/player/146716.winterdeadeye23/overview,Winterdeadeye23,"Yes, all 3 have",5,Diamond,All PC,,
26/03/2025 18:13:34,Baked Goods,jek__23,jek__23,https://overstat.gg/player/999600.JEK/overview,JEK,ph8l,https://overstat.gg/player/182305.MayBPh8L/overview,MayBPh8l,bakedpotato1213,https://overstat.gg/player/324277.BakedPotato1213/overview,BakedPotato1213,"Yes, all 3 have",4,Platinum,All PC,,
