TimeStamp,Column 30,Signup,Day 1 Division,Day 1 Results,Kills,Day 2 Division,Column 35,Day 2 Results,Day 3 Division,Day 3 Results,Column 43,Day 4 Division,Column 44,Day 4 Results,Team Name,Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Have you and your teammates played in Void Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,Are there any days of the week your team CAN NOT play? (We can't promise to accommodate you as leagues are separated by skill),Additional Comments,Day 1 Subs ,Sub Overstat,NOTES,Arrow If Same Sub ,Day 2,Sub Overstat ,Notes,Arrow If Same , Day 3,Sub Overstat ,Notes ,Arrow If Same,Day 4,Sub Overstat ,Notes
,,,,,,,,,,,,,,,Lobby 1 (Line 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2025 11:15:30,1,,A,7,34,N/A,,,A,1,95,N/A,,,Spooky Buttcheeks,Lau,Lau,https://overstat.gg/player/749175/overview,Mysteryz,https://overstat.gg/player/194927/overview,Tragic,https://overstat.gg/player/623330/overview,"2 of us did, 1 did not",5,Masters,All PC,No Scheduling Issues,,,,,,,,,,,,,,,,
9/25/2025 10:16:34,1,,N/A,,,N/A,,,A,3,46,N/A,,,ByFire,Seeby,Seeby,https://overstat.gg/player/307263/overview,Kaido,https://overstat.gg/player/1120566/overview,Durxy,https://overstat.gg/player/776474/overview,"Yes, all 3 did",5,Apex Predator,All PC,No Scheduling Issues,Durxy is multi season Pred and the rest Masters,,,,,,,,,,,,,,,
9/25/2025 17:14:33,1,,A,19,15,A.5,5,48,A,4,44,N/A,,,ONYX,lumdum,lumdum,https://overstat.gg/player/77595.super%20sub%20lumdum/overview,l6mi,https://overstat.gg/player/405218.SoaR%20Lumi/overview,babylight7,https://overstat.gg/player/23220.babylight/overview,"2 of us did, 1 did not",5,Masters,All PC,No Scheduling Issues,,,,,,,,,,,,,,,,
9/27/2025 13:43:33,1,,A,13,24,A.5,3,54,A,5,42,N/A,,,Sword,compliant,compliant,https://overstat.gg/player/4528680/overview,5dchar, https://overstat.gg/player/404583/overview,.bleachh,https://overstat.gg/player/3688995.BleachhFPS/overview,"2 of us did, 1 did not",2,Diamond,All PC,No Scheduling Issues,,,,,,,,,,,,,,,,
9/24/2025 17:52:10,1,,A,10,29,N/A,,,A,6,39,N/A,,,100L X hakistat.com,spaceman,spaceman,https://overstat.gg/player/2189472.spaceman/overview,eidolon7,https://overstat.gg/player/2198882/overview,ntdrose12,https://overstat.gg/player/753378/overview,"Yes, all 3 did",5,Masters,All PC,Wednesday,,,,,,,,,,,,,,,,
9/28/2025 22:15:07,1,,A,2,71,N/A,,,A,9,34,N/A,,,Renaissance,YoJokerz,poolllllllll,https://overstat.gg/player/30928/overview,kkas1,https://overstat.gg/player/61557.FEYD%20RAUTHA/overview,YoJokerz,https://overstat.gg/player/74046/overview,"1 of us did, 2 did not",5,Masters,All PC,Wednesday,Gonna have people subbing in periodically. ,Wabbit,https://overstat.gg/player/265011/overview,Subbing in for Kaz Placement Day 1 ,,,,,,Wabbit =,https://overstat.gg/player/265011/overview,Subbing for Jokerz ,,,,
9/30/2025 15:03:20,2,,B,3,52,A.5,2,68,A,10,34,N/A,,,Xzile Esports,kaynun,kaynun,https://overstat.gg/player/238512.kaynun/overview,spetzmg,https://overstat.gg/player/82178/overview,firedragon,https://overstat.gg/player/364411/overview,None of  played in the VESA Apex League Season 11,5,Masters,All PC,No Scheduling Issues,,,,,,,,,,,,,,,,
9/27/2025 20:58:43,1,,A,11,27,N/A,,,A,7,36,N/A,,,Saga,Truth,Truth,https://overstat.gg/player/3385048.Truth/overview,caro,https://overstat.gg/player/96508/overview,Noxums,https://overstat.gg/player/753379.Noxums/overview,"Yes, all 3 did",5,Masters,"Some PC, some console",No Scheduling Issues,Will have to have a sub play at least 1 placement day,Hackz,https://overstat.gg/player/654965.hhhackz/overview,Hackz Subbing for Caro Placement Day 1,,,,,,,,,,,,
10/1/2025 1:35:05,1,,A,4,50,N/A,,,A,14,29,N/A,,,SHORK,oalios,oalios,https://overstat.gg/player/965622.oalios/overview,emcy,https://overstat.gg/player/2607937.Eemmccyy/overview,swagmillion,https://overstat.gg/player/2382005.swagmillion/overview,"1 of us did, 2 did not",5,Masters,All PC,No Scheduling Issues,:3,Swxgs,https://overstat.gg/player/3326280/overview,Subbing for Emcy for few games Placement Day 1,,,,,,,,,,,,
