Overall_Rank,Division,Rank_in_Division,Team_Name,Team_Rating,Tier,Day,Schedule_Constraint,Original_Rank,Rank_Change,Change_Direction
1,1,1,X-ELEMENT,33029.12,S+,Thursday,No Scheduling Issues,17,16,↑16
2,1,2,Spooky Buttcheeks,23012.93,S+,Thursday,No Scheduling Issues,1,-1,↓1
3,1,3,Greasy Boyz,18965.22,S+,Thursday,No Scheduling Issues,11,8,↑8
4,1,4,Necrotic,15132.97,S+,Thursday,No Scheduling Issues,15,11,↑11
5,1,5,ONYX,14980.18,S+,Thursday,No Scheduling Issues,3,-2,↓2
6,1,6,Sword,13893.90,S+,Thursday,No Scheduling Issues,4,-2,↓2
7,1,7,happy2behere,13442.87,S+,Thursday,No Scheduling Issues,25,18,↑18
8,1,8,Xzile Esports,13252.20,S+,Thursday,No Scheduling Issues,7,-1,↓1
9,1,9,Plus Ultra,12705.35,S+,Thursday,No Scheduling Issues,20,11,↑11
10,1,10,100L X hakistat.com,12680.73,S+,Thursday,Wednesday,5,-5,↓5
11,1,11,ThirdPartyKings,12486.30,S+,Thursday,No Scheduling Issues,14,3,↑3
12,1,12,Eclipse,11640.08,S+,Thursday,Monday,18,6,↑6
13,1,13,TBD,11532.83,S+,Thursday,Monday,16,3,↑3
14,1,14,Renaissance,11451.15,S+,Thursday,Wednesday,6,-8,↓8
15,1,15,OHH GUARDIAN,10890.70,S+,Thursday,No Scheduling Issues,27,12,↑12
16,1,16,Fools Gold,9563.97,S+,Thursday,No Scheduling Issues,13,-3,↓3
17,1,17,Dark Horse Esports,9349.07,S+,Thursday,No Scheduling Issues,26,9,↑9
18,1,18,Saga,8493.73,S+,Thursday,No Scheduling Issues,8,-10,↓10
19,1,19,ByFire,8420.38,S+,Thursday,No Scheduling Issues,2,-17,↓17
20,1,20,Silly Little Chocobo's,8049.81,S+,Thursday,No Scheduling Issues,23,3,↑3
21,2,1,Icarus,7890.45,S+,Wednesday,No Scheduling Issues,34,13,↑13
22,2,2,PureAqua,7817.75,S+,Wednesday,No Scheduling Issues,29,7,↑7
23,2,3,Focus,7082.19,S+,Wednesday,No Scheduling Issues,28,5,↑5
24,2,4,New Alliance,6349.99,S+,Wednesday,"Monday, Wednesday, Thursday",22,-2,↓2
25,2,5,Hectic City,6258.21,S+,Wednesday,No Scheduling Issues,12,-13,↓13
26,2,6,norf norf,6235.80,S+,Wednesday,No Scheduling Issues,31,5,↑5
27,2,7,Outcasts,5770.71,S+,Wednesday,Monday,38,11,↑11
28,2,8,HRD,5567.03,S+,Wednesday,No Scheduling Issues,24,-4,↓4
29,2,9,Nightmare Collective,5439.32,S+,Wednesday,Monday,21,-8,↓8
30,2,10,FCK,5415.06,S+,Wednesday,No Scheduling Issues,10,-20,↓20
31,2,11,SHORK,4943.59,S+,Wednesday,No Scheduling Issues,9,-22,↓22
32,2,12,WannaBees,4734.10,S+,Wednesday,No Scheduling Issues,33,1,↑1
33,2,13,3 Hearts Smile,4494.61,S+,Wednesday,No Scheduling Issues,43,10,↑10
34,2,14,Los Pollos Hermanos,4208.46,S+,Wednesday,Monday,39,5,↑5
35,2,15,GRIZZLY,3636.22,S+,Wednesday,No Scheduling Issues,37,2,↑2
36,2,16,Bee Happy,3566.17,S+,Wednesday,,44,8,↑8
37,2,17,Temple University,3539.28,S+,Wednesday,No Scheduling Issues,53,16,↑16
38,2,18,Protato Force,3347.26,S+,Wednesday,No Scheduling Issues,36,-2,↓2
39,2,19,Wiggs ball sweat,2781.75,S+,Wednesday,Thursday,41,2,↑2
40,2,20,DNT,2717.28,S+,Wednesday,Monday,40,0,=
41,3,1,LAM,2642.64,S+,Monday,Wednesday,49,8,↑8
42,3,2,66TH ORDER OF MOTL,2501.64,S+,Monday,No Scheduling Issues,47,5,↑5
43,3,3,Kissing Your Dads Toes,2442.60,S+,Monday,No Scheduling Issues,30,-13,↓13
44,3,4,2 Mice 1 Rat,2413.75,S+,Monday,No Scheduling Issues,46,2,↑2
45,3,5,Seven Deuce,2401.17,S+,Monday,No Scheduling Issues,42,-3,↓3
46,3,6,Torchers,2011.26,S+,Monday,,45,-1,↓1
47,3,7,El Drip,1679.97,S+,Monday,"Monday, Wednesday",51,4,↑4
48,3,8,BoysNightOut,1665.65,S+,Monday,Wednesday,95,47,↑47
49,3,9,OV-HO's,1645.43,S+,Monday,"Thursday, No Scheduling Issues",110,61,↑61
50,3,10,Wallie Warriors,1549.42,S+,Monday,No Scheduling Issues,65,15,↑15
51,3,11,4funski,1421.15,S+,Monday,No Scheduling Issues,19,-32,↓32
52,3,12,Gaming Uncles,1276.14,S+,Monday,No Scheduling Issues,50,-2,↓2
53,3,13,Triple Threat,1243.27,S+,Monday,Thursday,35,-18,↓18
54,3,14,Diamond Dawgs,1241.97,S+,Monday,Monday,73,19,↑19
55,3,15,Frozen Powerade,1227.26,S+,Monday,No Scheduling Issues,48,-7,↓7
56,3,16,T2G Esports,1195.28,S+,Monday,Wednesday,79,23,↑23
57,3,17,Team Hibiscus,1192.57,S+,Monday,No Scheduling Issues,67,10,↑10
58,3,18,Concrete Jungle,1114.80,S+,Monday,No Scheduling Issues,66,8,↑8
59,3,19,i see how it is,1032.35,S+,Monday,No Scheduling Issues,64,5,↑5
60,3,20,Tsunami Pissers,1030.93,S+,Monday,No Scheduling Issues,56,-4,↓4
61,4,1,8th Gate,1014.08,S+,Thursday,No Scheduling Issues,55,-6,↓6
62,4,2,Pink Pony Club,988.32,S+,Thursday,Thursday,57,-5,↓5
63,4,3,Solstice,983.45,S+,Thursday,No Scheduling Issues,32,-31,↓31
64,4,4,Straw Hats,966.45,S+,Thursday,No Scheduling Issues,62,-2,↓2
65,4,5,The Royal Knights,911.71,S+,Thursday,No Scheduling Issues,52,-13,↓13
66,4,6,Last Place Secured,680.61,S+,Thursday,No Scheduling Issues,58,-8,↓8
67,4,7,Ho Ho Headshots,651.70,S+,Thursday,No Scheduling Issues,54,-13,↓13
68,4,8,Fearnotz,582.33,S+,Thursday,No Scheduling Issues,60,-8,↓8
69,4,9,Waffle Cone,569.66,S+,Thursday,No Scheduling Issues,70,1,↑1
70,4,10,Jedi Mind Tricks,517.59,S+,Thursday,,59,-11,↓11
71,4,11,NESSIES FOR YOU,487.84,S+,Thursday,No Scheduling Issues,63,-8,↓8
72,4,12,Stargazers,462.23,S+,Thursday,Wednesday,71,-1,↓1
73,4,13,Casual Gooning,445.90,S+,Thursday,No Scheduling Issues,77,4,↑4
74,4,14,Ardor Impact,400.77,S+,Thursday,"Monday, Wednesday",74,0,=
