Rank,Player Name,Rating,Tier,Seasons Played,Top Lobby Bonus
1,Lau,253.90,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
2,CHUDMAXXING,227.89,S+,"S, 1, 1, +, S, 1, 2",No
3,BrodE,224.03,S+,"S, 1, 1, +, S, 1, 2",No
4,lum,214.84,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 5",No
5,Zboy5z5,207.79,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
6,Anteatter,207.17,S+,"S, 1, 1",No
7,Bleachh,203.07,S+,"S, 1, 1, +, S, 1, 2",No
8,Mysteryz,197.18,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
9,NC Kahzïne,188.19,S+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
10,acb,184.80,S+,"S, 1, 1, +, S, 1, 2",No
11,Dvpaper,157.03,S,"S, 1, 1, +, S, 1, 2",No
12,BF Kaidostreams,155.19,S,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
13,Stitch,155.04,S,"S, 1, 2, +, S, 5, +, S, 8, +, S, 8, +, S, 8",No
14,Penguinii,153.60,S,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
15,0ptical,151.16,S,"S, 1, 1, +, S, 1, 2, +, S, 5",No
16,An7,148.18,S,"S, 1, 1, +, S, 1, 2, +, S, 5",No
17,Hova,148.01,S,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
18,Noxums,147.56,S,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 5, +, S, 6, +, S, 8",No
19,twitch.tv/kozmohs,145.86,S,"S, 1, 1",No
20,Lastcall,144.52,S,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
21,Nopes Ropes,143.91,S,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
22,Dare,143.05,S,"S, 1, 1",No
23,DarkApex,140.00,A+,"S, 1, 1, +, S, 1, 2",No
24,zourafa12,138.51,A+,"S, 1, 2, +, S, 6, +, S, 8",No
25,PureAqua | ExE?,138.39,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 8",No
26,Bvtterr,138.18,A+,"S, 1, 1, +, S, 1, 2, +, S, 6",No
27,TNL_Colt,136.66,A+,"S, 1, 1",No
28,Almanymede,136.29,A+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
29,cudi,135.43,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
30,wattsonswittlepuppywoof,134.03,A+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
31,ejustice74,131.86,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
32,HA1L RG3,128.96,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
33,ColedColedWorld,128.80,A+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
34,Shouli,128.62,A+,"S, 1, 1, +, S, 1, 2",No
35,priiznn,127.26,A+,"S, 1, 1, +, S, 1, 2",No
36,KindlyMonkey,125.04,A+,"S, 1, 2, +, S, 8, +, S, 8",No
37,Zimm,124.41,A+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
38,@YoJokerz,123.59,A+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6",No
39,Zaphyツ,123.55,A+,"S, 1, 1",No
40,eidolon,121.23,A+,"S, 1, 1, +, S, 1, 2",No
41,TheGunner2533,119.61,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
42,Sleeping,118.69,A,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
43,Freak Newcastle,118.10,A,"S, 1, 2, +, S, 8",No
44,spaceman,116.41,A,"S, 1, 1, +, S, 1, 2",No
45,HaKobo,115.99,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
46,Kevin,114.40,A,"S, 1, 2, +, S, 8",No
47,Baughty,113.35,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
48,NØKK,112.35,A,"S, 1, 1, +, S, 1, 2, +, S, 8",No
49,OzWaldo,111.70,A,"S, 1, 1",No
50,wawzi,107.96,A,"S, 1, 1, +, S, 1, 2",No
51,DH_Soda,106.69,A,"S, 1, 1, +, S, 1, 2",No
52,twitch.tv/apguapo,105.06,A,"S, 1, 2, +, S, 4, +, S, 5, +, S, 8",No
53,Karnivorrr,103.46,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
54,unix._,103.35,A,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
55,ARI!,103.00,A,"S, 1, 1, +, S, 1, 2, +, S, 6",No
56,Mr_Hands_20,102.56,A,"S, 5, +, S, 6, +, S, 8",No
57,Saaaber,102.56,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
58,LeaderOfTheBees,102.34,A,"S, 1, 1",No
59,indigocross92,102.23,A,"S, 1, 2, +, S, 6, +, S, 8",No
60,BigBen,101.98,A,"S, 1, 2, +, S, 8",No
61,Omnipotene,101.71,A,"S, 1, 1",No
62,kat,101.44,A,"S, 1, 2, +, S, 8",No
63,That Shark Bitch,101.18,A,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
64,zCrackdown,100.73,A,"S, 1, 1, +, S, 4, +, S, 5, +, S, 6",No
65,Todo_apex,100.46,A,"S, 1, 1",No
66,PZ1A,100.25,A,"S, 1, 2, +, S, 4, +, S, 8",No
67,t,100.13,A,"S, 1, 2, +, S, 6",No
68,PureAqua | Ltto,99.48,B+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
69,Hawkeye2552,99.40,B+,"S, 5, +, S, 6, +, S, 8",No
70,kraag,98.54,B+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
71,ChefMike,98.49,B+,"S, 1, 2, +, S, 6, +, S, 8, +, S, 8",No
72,Eddy,98.44,B+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
73,GRO gLow,96.93,B+,"S, 1, 2, +, S, 8",No
74,TwelveGage,96.69,B+,"S, 1, 2, +, S, 4, +, S, 6, +, S, 8",No
75,maufctr,96.37,B+,"S, 1, 1, +, S, 1, 2",No
76,bradyvision,95.84,B+,"S, 1, 2, +, S, 8",No
77,VENGER_YT,95.34,B+,"S, 1, 2",No
78,goodlookingsean,95.07,B+,"S, 1, 1, +, S, 1, 2",No
79,SoleSky,94.86,B+,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
80,PGK,94.66,B+,"S, 1, 1, +, S, 1, 2",No
81,AUTHOR,94.58,B+,"S, 5, +, S, 6, +, S, 8",No
82,caro,94.00,B+,"S, 1, 1, +, S, 1, 2, +, S, 8",No
83,ChosenSky,93.28,B+,"S, 1, 1, +, S, 6",No
84,F5 | Stabjackal TTV,92.77,B+,"S, 1, 1, +, S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
85,shueisha,92.24,B+,"S, 1, 2, +, S, 8",No
86,xestefy_,91.89,B+,"S, 1, 2, +, S, 8",No
87,Hylandbound,91.43,B+,"S, 5, +, S, 8",No
88,SMZ Dragonite,87.86,B+,"S, 1, 2, +, S, 8, +, S, 8",No
89,NuTTy,87.74,B+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5, +, S, 6",No
90,AiymAPotato,87.04,B+,"S, 1, 2, +, S, 8",No
91,Dusterbia,87.04,B+,"S, 1, 2, +, S, 8",No
92,DASLEDGEHAMMER,87.04,B+,"S, 1, 1, +, S, 1, 2, +, S, 4, +, S, 5",No
93,ImSh1ny,85.24,B+,"S, 1, 2, +, S, 8",No
94,Cezr,84.93,B,"S, 1, 2, +, S, 8",No
95,mIsTer_gAbRielLL,84.91,B,"S, 1, 2, +, S, 4, +, S, 5",No
96,StoneSpy946,84.24,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
97,PZ2A,83.80,B,"S, 1, 1, +, S, 1, 2",No
98,Graffix,83.36,B,"S, 1, 2, +, S, 4, +, S, 5, +, S, 6, +, S, 8",No
99,Haki,83.18,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
100,TheCoolPanda_,82.51,B,"S, 1, 2",No
101,Doctor Eloc,82.26,B,"S, 5, +, S, 6, +, S, 8",No
102,Scarab6232,82.25,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
103,Deetray,81.12,B,"S, 1, 1",No
104,Broom,80.33,B,"S, 1, 1, +, S, 4, +, S, 5, +, S, 6",No
105,TsF MonTy,80.25,B,"S, 1, 2, +, S, 5, +, S, 6, +, S, 8",No
106,goddamnironman,80.20,B,"S, 1, 2, +, S, 8",No
107,PALMS,79.17,B,"S, 1, 1, +, S, 1, 2, +, S, 8",No
108,Jakoby,79.09,B,"S, 1, 1",No
109,kallax,79.08,B,"S, 4, +, S, 5, +, S, 6",No
