Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
1,CHUDMAXXING,311.68,S11+S12,,733.20,79.29,35,9.0,"CHUDMAXXING, LUMI"
2,Anteatter,291.33,S11,,863.20,,35,10.0,Anteatter
3,Bleachh,286.34,S11+S12,,629.20,91.34,35,9.0,Bleachh
4,BrodE,285.71,S11+S12,,544.70,125.78,35,10.0,BrodE
5,acb,284.21,S11+S12,,506.35,139.90,35,9.0,"acb, seeby"
6,Lau,256.17,S11+S12,,386.10,155.39,35,10.0,Lau
7,lum,234.02,S11+S12,,549.90,59.79,35,9.0,"lum, lumdum"
8,twitch.tv/kozmohs,205.12,S11,,607.75,,35,10.0,twitch.tv/kozmohs
9,NC Kahzïne,204.35,S11+S12,,393.90,88.16,35,9.0,"NC Kahzïne, MOTL Kahzïne"
10,VENGER_YT,204.30,S12,,,252.23,35,10.0,VENGER_YT
11,Zboy5z5,203.89,S11+S12,,349.05,106.28,35,10.0,Zboy5z5
12,Kevin,200.92,S12+S8,139.00,,213.30,35,10.0,Kevin
13,eidolon,199.20,S11+S12,,296.40,122.43,35,9.0,eidolon
14,DarkApex,196.09,S11+S12,,386.75,123.04,15,8.0,DarkApex
15,spaceman,194.81,S11+S12,,423.80,63.93,35,9.0,"Omnipotene, spaceman"
16,Mysteryz,194.09,S11+S12,,186.55,161.89,35,9.5,Mysteryz
17,TNL_Colt,192.17,S11,,569.40,,35,10.0,TNL_Colt
18,wattsonswittlepuppywoof,184.72,S11+S12+S8,188.00,119.60,131.22,35,9.5,"BACKSP4CEッ, wattsonswittlepuppywoof, garbunk"
19,TheCoolPanda_,176.82,S12,,,218.29,35,10.0,TheCoolPanda_
20,PureAqua | ExE?,174.91,S11+S12+S8,124.00,285.35,103.60,15,8.0,"PureAqua | ExE?, xXx"
21,Zaphyツ,173.75,S11,,514.80,,35,10.0,Zaphyツ
22,wawzi,171.04,S11+S12,,169.00,140.74,35,9.5,"wawzi, waz ee"
23,Dvpaper,165.14,S11+S12,,399.75,72.77,15,7.0,Dvpaper
24,Dare,163.91,S11,,596.05,,10,6.0,"DareOGK on Twitch, Dare"
25,DH_Soda,163.55,S11+S12,,293.80,79.50,35,9.0,"DH_Soda, LVS_Soda"
26,0ptical,162.21,S11+S12,,291.85,78.66,35,9.0,0ptical
27,XEL Decimation,162.18,S12,,,200.23,35,10.0,XEL Decimation
28,BF Kaidostreams,160.86,S11+S12,,330.85,60.73,35,9.0,"A Big Ahh Turd, BF Kaidostreams"
29,An7,158.83,S11+S12,,309.40,67.17,35,9.0,An7
30,OzWaldo,157.07,S11,,465.40,,35,10.0,OzWaldo
31,XEL iklipsa,156.92,S12,,,193.73,35,10.0,XEL iklipsa
32,Shouli,155.31,S11+S12,,395.85,60.15,15,8.0,Shouli
33,BigBen,151.64,S12+S8,258.00,,165.26,10,6.0,"BigBen, BigBen1248"
34,ejustice74,151.04,S12+S8,239.00,,126.72,35,10.0,ejustice74
35,Dijaii,150.62,S12,,,185.95,35,10.0,Dijaii
36,Hova,150.32,S12+S8,232.00,,169.76,10,6.0,Hova
37,xestefy_,149.50,S12+S8,149.00,,147.31,35,10.0,"xestefy_, ESTEFY"
38,PZ2A,147.76,S11+S12,,82.55,189.48,10,5.5,"Astris86, PZ2A"
39,kraag,146.09,S11+S12+S8,152.00,46.80,122.86,35,9.0,"kraag, Moolboyrk, Kryo"
40,CapybarasGoRAWRR,145.35,S12,,,179.45,35,10.0,CapybarasGoRAWRR
41,LeaderOfTheBees,143.91,S11,,426.40,,35,10.0,LeaderOfTheBees
42,cxedt on all platforms,143.18,S12,,,176.77,35,10.0,cxedt on all platforms
43,Todo_apex,141.28,S11,,418.60,,35,10.0,Todo_apex
44,@YoJokerz,139.25,S11+S12,,56.55,148.35,35,9.0,@YoJokerz
45,Almanymede,138.85,S11+S12,,276.90,85.86,15,7.0,Almanymede
46,Bvtterr,135.66,S11+S12,,224.90,73.78,35,9.5,Bvtterr
47,NØKK,135.29,S11+S12+S8,124.00,272.35,51.60,15,8.0,NØKK
48,ColedColedWorld,135.24,S12+S8,239.00,,107.22,35,10.0,ColedColedWorld
49,maufctr,131.35,S11+S12,,278.20,74.44,15,8.0,"maufctr, mauシ"
50,Zimm,131.16,S11+S12+S8,141.00,33.80,140.75,15,8.0,"Zimm, ジム, ジマー"
51,PZ1A,129.84,S12+S8,289.00,,124.48,10,5.0,"FairestOne617, PZ1A"
52,Nopes Ropes,129.17,S12+S8,209.00,,107.22,35,10.0,Nopes Ropes
53,cudi,128.87,S11+S12,,239.85,59.16,35,9.0,cudi
54,goodlookingsean,123.12,S11+S12,,265.20,67.94,15,8.0,goodlookingsean
55,kat,122.55,S12+S8,298.00,,76.80,35,10.0,kat
56,Lui,120.95,S12,,,149.32,35,10.0,Lui
57,TTV iXM1kos,120.95,S12,,,149.32,35,10.0,TTV iXM1kos
58,PettyPenguin39,120.65,S12,,,174.85,15,8.0,PettyPenguin39
59,priiznn,119.26,S12,,,147.24,35,10.0,priiznn
60,JuiceboxSlays,117.11,S12+S8,141.00,,150.64,5,3.0,"JuiceboxSlays, JuiceboxSlays (washed)"
61,PGK,115.32,S11+S12,,287.95,47.15,15,8.0,PGK
62,ChubbyChinchilla8,115.30,S12,,,142.35,35,10.0,ChubbyChinchilla8
63,shueisha,114.68,S12+S8,320.00,,93.76,10,6.0,shueisha
64,Xyrosec,114.53,S12+S8,136.00,,107.40,35,10.0,Xyrosec
65,@WB_Killua,114.47,S12,,,165.90,15,8.0,@WB_Killua
66,PureAqua | Ltto,114.36,S11+S12+S8,124.00,246.35,32.10,15,8.0,"PureAqua | Ltto, Ltto., NRG ltto."
67,Deetray,114.08,S11,,338.00,,35,10.0,Deetray
68,KindlyMonkey,114.00,S12+S8,298.00,,106.45,5,4.0,"OniHeishiVT, KindlyMonkey"
69,goddamnironman,111.71,S12+S8,232.00,,111.26,10,6.0,goddamnironman
70,t,111.70,S12,,,161.89,15,8.0,"stoopu doopu, t"
71,Hun7er_TV,111.55,S12,,,137.72,35,10.0,Hun7er_TV
72,Jakoby,111.22,S11,,329.55,,35,10.0,Jakoby
73,Noxums,110.58,S11+S12+S8,189.00,80.60,55.68,35,9.0,Noxums
74,Penguinii,108.09,S11+S12,,188.50,78.10,15,7.5,Penguinii
75,ImSh1ny,107.23,S12+S8,237.00,,73.14,35,10.0,ImSh1ny
76,NickCageTheDickMage,106.43,S12,,,154.25,15,8.0,NickCageTheDickMage
77,Cezr,106.03,S12+S8,293.00,,87.40,10,6.0,Cezr
78,ARI!,105.70,S11+S12,,317.20,21.02,15,8.0,"Gas Daddy, ARI!"
79,JEK,105.58,S12+S8,127.00,,128.23,10,5.0,JEK
80,GRO gLow,105.32,S12+S8,433.00,,51.32,10,5.0,GRO gLow
81,SnoZizzle | Twitch,105.16,S12,,,129.82,35,10.0,SnoZizzle | Twitch
82,unix._,104.78,S12+S8,102.00,,133.26,10,6.0,"unix._, Unix_IRL"
83,Freak Newcastle,103.72,S12+S8,557.00,,25.38,5,4.0,"Freak Newcastle, Frank Newcastle"
84,:O,103.65,S12+S8,149.00,,119.80,10,5.0,:O
85,bradyvision,103.39,S12+S8,431.00,,48.90,10,5.0,bradyvision
86,caro,102.70,S11+S12+S8,120.00,119.60,69.01,15,8.5,"amon, caro"
87,Hovas Fav Teammate,102.18,S12+S8,349.00,,67.57,10,5.0,"Hylandbound, Hovas Fav Teammate"
88,TremblingTarantula43,99.51,S12,,,122.85,35,10.0,TremblingTarantula43
89,HaKobo,99.40,S12+S8,239.00,,98.03,5,4.0,HaKobo
90,ImTheBigFork,98.56,S12+S8,111.00,,121.59,10,5.0,ImTheBigFork
91,DRIP_itsyoboigothy,97.97,S12,,,120.95,35,10.0,DRIP_itsyoboigothy
92,Lastcall,97.00,S11+S12,,286.65,21.15,15,8.0,Lastcall
93,PALMS,96.87,S11+S12+S8,270.00,21.45,77.32,5,4.5,"SOAK Wobbla, SOAK Palms, PALMS"
94,Coveted Yams,96.86,S12+S8,194.00,,98.26,10,6.0,Coveted Yams
95,@rbv_sk8ter,96.73,S12,,,119.43,35,10.0,@rbv_sk8ter
96,Galahad,96.73,S12,,,119.43,35,10.0,Galahad
97,Fartman,96.30,S12+S8,208.00,,93.90,10,6.0,Fartman
98,zourafa12,95.97,S12+S8,370.00,,59.84,5,4.0,zourafa12
99,DH_Turtle Guy,95.97,S11+S12,,202.80,54.59,15,7.5,"LVS_TurtleMan, DH_Turtle Guy"
100,FlareNotFlair,95.87,S11,,284.05,,35,10.0,FlareNotFlair
101,hazelnut,95.72,S12,,,145.03,10,5.0,hazelnut
102,kane.,95.22,S12,,,138.00,15,8.0,kane.
103,hyper o7웃,95.02,S11+S12,,33.80,129.88,10,6.0,"hyper o7웃, hyper o7"
104,reverie,94.58,S12,,,143.31,10,6.0,reverie
105,AiymAPotato,93.63,S12+S8,327.00,,60.11,10,6.0,AiymAPotato
106,Dusterbia,93.63,S12+S8,327.00,,60.11,10,6.0,Dusterbia
107,B Tier,92.98,S12,,,134.75,15,8.0,B Tier
108,Crash,92.94,S12+S8,228.00,,83.82,10,5.0,Crash
109,TwelveGage,92.50,S12+S8,180.00,,95.15,10,5.0,TwelveGage
110,@Mootzel,92.02,S12+S8,166.00,,104.56,5,3.0,"@Mootzel, Mootzel"
111,twitch.tv/apguapo,91.72,S12+S8,110.00,,105.43,15,8.0,twitch.tv/apguapo
112,Raz,91.05,S12+S8,120.00,,107.95,10,5.0,Raz
113,AllieFPS | Twitch,90.75,S11+S12,,149.50,49.74,35,9.5,AllieFPS | Twitch
114,BF Durxy,90.68,S11+S12,,107.25,86.73,15,8.5,"Durxy, BF Durxy"
115,Oshe,90.47,S12+S8,317.00,,57.82,10,5.0,Oshe
116,DaS8157,90.01,S12+S8,225.00,,80.13,10,6.0,DaS8157
117,mIsTer_gAbRielLL,88.57,S12,,,109.35,35,10.0,mIsTer_gAbRielLL
118,XZL FireDragon,88.40,S12,,,109.13,35,10.0,XZL FireDragon
119,@ArtemisGG_,87.99,S12+S8,167.00,,91.56,10,6.0,@ArtemisGG_
120,LAZY3D,87.75,S11,,260.00,,35,10.0,LAZY3D
121,iLehr,87.20,S12,,,126.38,15,8.0,iLehr
122,TTV | TripleThreatG75,86.92,S12,,,131.70,10,6.0,TTV | TripleThreatG75
123,Uorax,86.74,S11+S12+S8,141.00,40.30,73.67,15,8.0,"旋風, Uorax"
124,G2theRiffin,86.63,S12+S8,150.00,,93.76,10,6.0,G2theRiffin
125,ZonkyWonky,86.52,S12,,,131.09,10,6.0,ZonkyWonky
126,Sydney,86.00,S12,,,130.31,10,6.0,Sydney
127,CF: TTV-ParcifalOg1,84.86,S12+S8,232.00,,70.57,10,5.0,"CF: TTV-ParcifalOg1, DWE Parcifal"
128,alphabet,83.94,S12,,,127.19,10,5.0,alphabet
129,Kulutch,83.66,S12,,,126.76,10,6.0,Kulutch
130,Fent Gorilla,83.57,S12,,,126.63,10,6.0,Fent Gorilla
131,Jack,82.76,S12+S8,98.00,,100.90,10,5.0,Jack
132,shxde,82.74,S12,,,119.92,15,8.0,shxde
133,Potter,82.18,S12+S8,135.00,,90.77,10,6.0,Potter
134,uFears,81.92,S12+S8,189.00,,76.87,10,5.0,uFears
