Rank,Team Name,Team Rating,Tier,Player 1,Player 2,Player 3,P1 Rating,P2 Rating,P3 Rating
1,Spooky Buttcheeks,166.72,S+,Lau,Mysteryz,Tragic,222.66,180.30,97.19
2,Greasy Boyz,163.21,S+,Zboy5z5,BrodE,Bvtterr,185.05,181.00,123.59
3,Kissing Your Dads Toes,132.51,S,Nopes Ropes,ColedColedWorld,ejustice74,141.84,127.04,128.65
4,Crashing Out,129.44,A+,Muchmixture9,Hobojo,Shape Generator,154.16,154.16,80.00
5,ONYX,127.85,A+,super sub lumdum,SoaR Lumi,babylight,179.79,179.72,24.05
6,Karnage,115.01,A+,Karnivorrr,TheGunner2533,HA1L RG3,102.46,117.72,124.86
7,ByFire,110.03,A,Seeby,Kaido,Durxy,147.02,134.22,48.87
8,Silly Little Chocobo's,109.87,A,Sleeping,Penguinii,dasledgehammer,111.74,138.58,79.28
9,Necrotic,109.18,A,0ptical,Nutty_fps,Cudi_fps,127.50,80.00,120.04
10,FCK,102.16,A,Lastcall,Shouli,PGK,128.52,102.05,75.92
11,Frozen Powerade,99.17,B+,AriFGC,DarkApex,¿SABER?,85.12,110.24,102.15
12,The Cult,96.48,B+,zourafa12,Indigo,laceycs,135.85,80.00,73.59
13,Hectic City,96.40,B+,Dvpaper,ryujii.x,agtoop,129.20,80.00,80.00
14,Saga,95.78,B+,Truth,caro,Noxums,60.86,83.27,143.21
15,Yams in Paris,92.77,B+,Hova,goddamnironman,Coveted Yams,138.74,75.09,64.49
16,Eclipse,92.00,B+,alliefps,wawzi,priiznn,80.00,90.58,105.43
17,Nightmare Collective,90.10,B+,MOTL Kahzine,LFT-LostHope,rRekra,160.09,80.00,30.21
18,No Peel,90.03,B+,HaKobo,baughty,GGMantisToboggan,110.70,110.12,49.25
19,Fools Gold,89.66,B,@SquirtzApex,zegion,kryobloom,120.43,57.92,90.64
20,ThirdPartyKings,87.39,B,AN74RKT1C,RN blanK,uorax,124.59,66.46,71.13
21,Waffle Cone,87.22,B,F5 | Stabjackal,the-optimistic-stoic,BruddahZimm,93.66,52.56,115.46
22,Sword,86.94,B,compliant,5dchar,BleachhFPS,20.40,80.00,160.42
23,100L X hakistat.com,84.71,B,spaceman,eidolon7,ntdrose12,94.14,80.00,80.00
24,Protato Force,83.79,B,AiymAPotato,dusterbia,thinkso,85.68,85.68,80.00
25,Kirkland Signature Esports,82.09,B,LGG! Oshe,GRO gLow,Chill Guy Palms,75.38,95.83,75.06
26,SCHIZOMANIACZ,81.68,B,twilitezz,sheppyk9,afrobangalore,80.00,85.03,80.00
27,PureAqua,81.58,B,100T ltto.,Flaco,Nokk,84.74,80.00,80.00
28,Bee Happy,80.00,B,Kevin100000,katelyn0068,mr.wu24,80.00,80.00,80.00
29,Bandit Beaters,80.00,B,grimsly_,yonko8496,zhnkaii.,80.00,80.00,80.00
30,Tsunami Pissers,80.00,B,fear8035,Camelinaboat0273,fuzegravity1,80.00,80.00,80.00
31,Paradox Gaming,80.00,B,aywire,jota0620,itsdajokr,80.00,80.00,80.00
32,Hangin' Brain,80.00,B,hpandthesorcerorstiddy,kitkatmeow,mauser,80.00,80.00,80.00
33,Genesis,80.00,B,BearXO,nrp,xxxlbaymax,80.00,80.00,80.00
34,ABGs,80.00,B,ItsSolo,flezrr,teztie,80.00,80.00,80.00
35,Around The World,80.00,B,@deton8r_ (or nate),@amaadam,@vibinwithjayy,80.00,80.00,80.00
36,Daddys LiL egirls,80.00,B,Meow4_Me_,uwutraplord,DJTWARRIOR,80.00,80.00,80.00
37,Core 3,80.00,B,Surust,Noop,gage,80.00,80.00,80.00
38,Emptyy,80.00,B,@viper7x_,EMTY-Sniper,Vxrtual_xD,80.00,80.00,80.00
39,KNT,80.00,B,twitch.tv/decentgamergirl,RFE RockIsGaming | Twitch,Magisterial,80.00,80.00,80.00
40,Concrete Jungle,79.11,B,G2theRiffin,shueisha,BigBen1248,55.12,88.78,93.44
41,DNT,76.20,B,Fartman,TTV%2,Cezr,66.66,80.00,81.95
42,Torchers,75.70,B,eddyjr85,secrets,Cannedbeans03,67.10,80.00,80.00
43,X-ELEMENT,73.65,C+,XEL iklipsa,XEL Decimation,VENGER_YT,67.35,69.24,84.36
44,Team Hibiscus,73.46,C+,Rakkideeznuts,balynce,nickatni7e,80.00,80.00,60.37
45,Fearsome Foursome,71.98,C+,The Corrupt Teacher,DmanLOC,mereoleona._.,69.52,66.44,80.00
46,New Alliance,70.77,C+,ZeroGLHF,est3fy,federico0990,47.34,84.98,80.00
47,Dark Horse Esports,69.76,C+,SLG-Soda,LVS_TURTLE,Protogen Pawjob,86.53,57.28,65.47
48,Diamond Dawgs,68.75,C+,Crash,olivergrant86,mattyk3ng,64.44,70.55,71.26
49,Seven Deuce,68.71,C+,aeroexists,cg_goomba,jakegoat,46.12,80.00,80.00
50,OMPA,68.49,C+,BobbyBooshayy,Patback,NitrousSaturn49,45.48,80.00,80.00
51,Pink Pony Club,67.29,C+,SoleSky,Phokkyu,Potter,95.16,45.09,61.63
52,Tiny Timmys,66.88,C+,StoneSpy946,Denk Jenkinson,JokingScarab65,81.69,37.99,80.96
53,4funski,66.75,C+,Evl999,hyper o7웃,shadydreams,80.00,40.25,80.00
54,Solstice,66.52,C+,thunderstruk,imsh1ny,imysticvortex,80.00,85.74,33.82
55,NESSIES FOR YOU,66.39,C+,WillakaTree,angxelah,canadiansyrup__,80.00,39.18,80.00
56,happy2behere,66.33,C+,TheMauFactor,@goodlookingsean,RaptureIsland,77.37,76.52,45.12
57,Titan Holo,66.21,C+,kane.,spillsauce,Beez,38.64,80.00,80.00
58,MeeHoyyMinoyy,65.80,C+,MrBr0jangles05,Sawabawa,vHazel,80.00,80.00,37.41
59,3 Hearts Smile,65.65,C+,Haki,m2,Nedlock,83.47,33.48,80.00
60,66TH ORDER OF MOTL,65.37,C+,FairestOne617,Astris86,PZ3A,95.35,68.81,31.96
61,Cream Team,64.68,C,Twelvegage,Supreme,Impish,92.09,59.97,41.96
62,Focus,64.43,C,Saybee,pottedplamnt,car1247,33.28,80.00,80.00
63,FCKU2,62.96,C,bradyvision,jhelly,ivionty,94.44,80.00,14.45
64,Gaming Uncles,60.83,C,ssjninja201,thunderrsleeps,inoriboob,80.00,80.00,22.50
65,Renaissance,60.49,C,poolllllllll,FEYD RAUTHA,YoJokerz,81.57,19.92,80.00
66,The Yacht Motel,60.32,C,BlueGreek,1cry_babe,huckleberry2319,20.97,80.00,80.00
67,Pekotitlan,59.82,C,Keko75FTW,Nilak,Almanymede,42.29,22.27,114.91
68,The Wave,59.42,C,Stinkerson,tsfmonty,l3otox,18.75,79.52,80.00
69,Maet Xepa,59.32,C,find0utt_TTV,GraffixFPS,zewski,85.03,81.30,11.63
70,Jedi Mind Tricks,59.24,C,MrrrAndersonnn,depravedwizzard,drdtheinevitable,17.72,80.00,80.00
71,T2G Esports,58.95,C,triplcross,bruinsfan4022,spike4728,16.84,80.00,80.00
