Rank,Player Name,Division,Final Score (50/50),Individual Score,Team Score,Kills,Damage,Lobby Weight
1,Anteatter,Pinnacle (Highest Skill),863.20,920.00,408.00,92,0,1.0
2,LUMI,Pinnacle (Highest Skill),733.20,720.00,408.00,72,0,1.0
3,KindlyMonkey,Emergent,638.29,830.00,151.98,83,0,0.51
4,GRO gLow,Emergent,638.09,820.00,161.67,82,0,0.51
5,Bleachh,Pinnacle (Highest Skill),629.20,690.00,278.00,69,0,1.0
6,FairestOne617,Challengers,616.52,830.00,118.49,83,0,0.41
7,twitch.tv/kozmohs,Pinnacle (Highest Skill),607.75,680.00,255.00,68,0,1.0
8,Dare,Pinnacle (Highest Skill),596.05,670.00,247.00,67,0,1.0
9,AiymAPotato,Ascendant,591.03,700.00,209.28,70,0,0.64
10,Hylandbound,Challengers,587.01,760.00,143.09,76,0,0.41
11,Dusterbia,Ascendant,571.53,670.00,209.28,67,0,0.64
12,TNL_Colt,Pinnacle (Highest Skill),569.40,630.00,246.00,63,0,1.0
13,lumdum,Pinnacle (Highest Skill),549.90,550.00,296.00,55,0,1.0
14,BrodE,Pinnacle (Highest Skill),544.70,580.00,258.00,58,0,1.0
15,KindKitten13,Vanguard,516.36,620.00,174.40,62,0,0.8
16,Zaphyツ,Pinnacle (Highest Skill),514.80,560.00,232.00,56,0,1.0
17,NickatNi7e,Challengers,507.19,670.00,110.29,67,0,0.41
18,seeby,Pinnacle (Highest Skill),506.35,500.00,279.00,50,0,1.0
19,DaS8157,Emergent,497.09,650.00,114.75,65,0,0.51
20,Phoenix.MLNT,Ascendant,493.22,570.00,188.80,57,0,0.64
21,Hawkeye2552,Challengers,492.91,630.00,128.33,63,0,0.41
22,NightNight.MLNT,Ascendant,486.72,560.00,188.80,56,0,0.64
23,Groliver86,Ascendant,472.21,530.00,196.48,53,0,0.64
24,uFears,Tendies (Lowest Skill),469.54,660.00,62.37,66,0,0.33
25,OzWaldo,Pinnacle (Highest Skill),465.40,470.00,246.00,47,0,1.0
26,Protogen Pawjob,Ascendant,456.87,580.00,122.88,58,0,0.64
27,shueisha,Challengers,455.78,570.00,131.20,57,0,0.41
28,BigBen1248,Ascendant,451.83,530.00,165.12,53,0,0.64
29,Lame A Train,Challengers,447.52,570.00,118.49,57,0,0.41
30,Nopes Ropes,Ascendant,444.44,550.00,133.76,55,0,0.64
31,ImSh1ny,Ascendant,436.59,520.00,151.68,52,0,0.64
32,Regen,Emergent,436.27,560.00,111.18,56,0,0.51
33,Oshe,Emergent,430.09,500.00,161.67,50,0,0.51
34,Skratchd_,Ascendant,429.36,530.00,130.56,53,0,0.64
35,LeaderOfTheBees,Pinnacle (Highest Skill),426.40,410.00,246.00,41,0,1.0
36,Omnipotene,Pinnacle (Highest Skill),423.80,500.00,152.00,50,0,1.0
37,Todo_apex,Pinnacle (Highest Skill),418.60,400.00,244.00,40,0,1.0
38,Saaaber,Challengers,415.12,530.00,108.65,53,0,0.41
39,FSU_IamAtomicTV,Challengers,408.62,520.00,108.65,52,0,0.41
40,zourafa12,Emergent,406.62,520.00,105.57,52,0,0.51
41,kat,Emergent,404.29,470.00,151.98,47,0,0.51
42,Dvpaper,Pinnacle (Highest Skill),399.75,330.00,285.00,33,0,1.0
43,fpsboone,Ascendant,398.22,500.00,112.64,50,0,0.64
44,Shouli,Pinnacle (Highest Skill),395.85,380.00,229.00,38,0,1.0
45,MOTL Kahzïne,Pinnacle (Highest Skill),393.90,420.00,186.00,42,0,1.0
