Rank,Player Name,Total Points,Kills,Damage
1,Anteatter,664.00,92,0
2,LUMI,564.00,72,0
3,KindlyMonkey,490.99,83,0
4,GRO gLow,490.84,82,0
5,Bleachh,484.00,69,0
6,FairestOne617,474.25,83,0
7,twitch.tv/kozmohs,467.50,68,0
8,Dare,458.50,67,0
9,AiymAPotato,454.64,70,0
10,Hylandbound,451.55,76,0
11,Dusterbia,439.64,67,0
12,TNL_Colt,438.00,63,0
13,lumdum,423.00,55,0
14,BrodE,419.00,58,0
15,KindKitten13,397.20,62,0
16,Zaphyツ,396.00,56,0
17,NickatNi7e,390.14,67,0
18,seeby,389.50,50,0
19,DaS8157,382.38,65,0
20,Phoenix.MLNT,379.40,57,0
21,Hawkeye2552,379.16,63,0
22,NightNight.MLNT,374.40,56,0
23,Groliver86,363.24,53,0
24,uFears,361.19,66,0
25,OzWaldo,358.00,47,0
26,Protogen Pawjob,351.44,58,0
27,shueisha,350.60,57,0
28,BigBen1248,347.56,53,0
29,Lame A Train,344.25,57,0
30,Nopes Ropes,341.88,55,0
31,ImSh1ny,335.84,52,0
32,Regen,335.59,56,0
33,Oshe,330.84,50,0
34,Skratchd_,330.28,53,0
35,LeaderOfTheBees,328.00,41,0
36,Omnipotene,326.00,50,0
37,Todo_apex,322.00,40,0
38,Saaaber,319.32,53,0
39,FSU_IamAtomicTV,314.32,52,0
40,zourafa12,312.79,52,0
41,kat,310.99,47,0
42,Dvpaper,307.50,33,0
43,fpsboone,306.32,50,0
44,Shouli,304.50,38,0
45,MOTL Kahzïne,303.00,42,0
46,Cezr,298.76,41,0
47,DarkApex,297.50,34,0
48,Lau,297.00,33,0
49,Frank Newcastle,295.60,46,0
50,Baughty,294.00,49,0
51,Crash,292.96,44,0
52,Gav.MLNT,291.60,42,0
53,Fartman,286.56,44,0
54,Waly,284.08,46,0
55,asome005,280.71,47,0
56,YANKEE 6 XRAY,279.72,45,0
57,xThinkso,279.64,35,0
58,Doctor Eloc,277.34,49,0
59,HaKobo,274.00,45,0
60,ColedColedWorld,271.48,39,0
61,ButterMyBreadWB,271.40,39,0
62,Jinkx,269.68,38,0
63,Zboy5z5,268.50,30,0
64,Saki <3,267.38,42,0
65,x_howdie_x,264.87,47,0
66,DWE Parcifal,262.56,43,0
67,DWE Mango,262.36,43,0
68,AUTHOR,261.68,38,0
69,garbunk,260.20,37,0
70,Deetray,260.00,36,0
71,Syndicate50,259.32,41,0
72,boobert,259.27,44,0
73,Hova,257.56,42,0
74,MannikTV,257.20,38,0
75,A Big Ahh Turd,254.50,31,0
76,Kevin,254.48,42,0
77,Enderphor,253.62,44,0
78,Jakoby,253.50,28,0
79,100T sheppyk9,252.84,44,0
80,Mr_Hands_20,251.55,36,0
81,Pandaz809,250.99,35,0
82,Lawlipawp,250.72,36,0
83,zegion,250.20,35,0
84,RAGNA_Viper,247.84,43,0
85,ehayes121,247.51,42,0
86,OniHeishiVT,245.49,39,0
87,bradyvision,245.14,38,0
88,Potter,244.43,42,0
89,Gas Daddy,244.00,21,0
90,twitch.tv/apguapo,244.00,40,0
91,Kryo,240.80,36,0
92,The Real Slim Shady,240.08,43,0
93,An7,238.00,29,0
94,ejustice74,236.48,32,0
