Rank,Player Name,Total Points,Total Kills,Total Damage
1,Anteatter,408.00,92,0
2,LUMI,408.00,72,0
3,lumdum,296.00,55,0
4,Dvpaper,285.00,33,0
5,seeby,279.00,50,0
6,Gas Daddy,278.00,21,0
7,Bleachh,278.00,69,0
8,Lau,264.00,33,0
9,BrodE,258.00,58,0
10,twitch.tv/kozmohs,255.00,68,0
11,DarkApex,255.00,34,0
12,Dare,247.00,67,0
13,TNL_Colt,246.00,63,0
14,OzWaldo,246.00,47,0
15,LeaderOfTheBees,246.00,41,0
16,Todo_apex,244.00,40,0
17,Zboy5z5,237.00,30,0
18,Zaphyツ,232.00,56,0
19,Shouli,229.00,38,0
20,Jakoby,227.00,28,0
21,xThinkso,209.28,35,0
22,AiymAPotato,209.28,70,0
23,Dusterbia,209.28,67,0
24,A Big Ahh Turd,199.00,31,0
25,Groliver86,196.48,53,0
26,Phoenix.MLNT,188.80,57,0
27,NightNight.MLNT,188.80,56,0
28,Cezr,187.52,41,0
29,An7,186.00,29,0
30,MOTL Kahzïne,186.00,42,0
31,Almanymede,186.00,24,0
32,cudi,179.00,19,0
33,0ptical,179.00,27,0
34,mauシ,178.00,25,0
35,MattyK3NG,177.92,24,0
36,KindKitten13,174.40,62,0
37,PGK,173.00,27,0
38,Lastcall,171.00,27,0
39,spaceman,168.00,27,0
40,eidolon,166.00,29,0
41,BigBen1248,165.12,53,0
42,Gav.MLNT,163.20,42,0
43,GRO gLow,161.67,82,0
44,Oshe,161.67,50,0
45,Deetray,160.00,36,0
46,LAZY3D,160.00,24,0
47,Jinkx,159.36,38,0
48,NØKK,159.00,26,0
49,Ltto.,159.00,22,0
50,xXx,159.00,28,0
51,goodlookingsean,158.00,25,0
52,ejustice74,152.96,32,0
53,ColedColedWorld,152.96,39,0
54,ButterMyBreadWB,152.80,39,0
55,Omnipotene,152.00,50,0
56,Pandaz809,151.98,35,0
57,kat,151.98,47,0
58,KindlyMonkey,151.98,83,0
59,Quip,151.68,19,0
60,ImSh1ny,151.68,52,0
61,Fuzz,151.68,29,0
62,Noxums,151.20,29,0
63,garbunk,150.40,37,0
64,zegion,150.40,35,0
65,Bvtterr,146.00,20,0
66,Crash,145.92,44,0
67,AUTHOR,143.36,38,0
68,jaundyy666,143.20,32,0
69,Mr_Hands_20,143.09,36,0
70,Hylandbound,143.09,76,0
71,LVS_Soda,142.00,31,0
72,LVS_TurtleMan,142.00,17,0
73,Lawlipawp,141.44,36,0
74,SOAK Wobbla,137.70,30,0
75,FlareNotFlair,137.00,30,0
76,Double-Take,136.00,30,0
77,oalios,135.20,16,0
78,MannikTV,134.40,38,0
79,Nopes Ropes,133.76,55,0
80,ThisIsMig | Twitch,133.76,28,0
81,Fartman,133.12,44,0
82,Gee_Spree,133.12,23,0
83,Frank Newcastle,131.20,46,0
84,shueisha,131.20,57,0
85,Skratchd_,130.56,53,0
86,Hawkeye2552,128.33,63,0
87,Draigo,128.00,34,0
88,DASLEDGEHAMMER,126.00,7,0
89,ChosenSky,126.00,23,0
90,mati,125.60,24,0
91,BrandoCommando,125.00,24,0
92,Epickiller17,125.00,9,0
93,Goomba on a Roomba,124.80,27,0
94,find0utt_TTV,122.88,26,0
95,Protogen Pawjob,122.88,58,0
96,Kryo,121.60,36,0
97,Xiums,121.60,26,0
98,ESTEFY,119.20,30,0
99,MOTL DduckyG,118.49,33,0
100,FairestOne617,118.49,83,0
101,Lame A Train,118.49,57,0
102,Tomboys > Femboys,115.20,10,0
103,Haki,115.20,18,0
104,TH | winterdeadeye,115.20,33,0
105,TwelveGage,115.20,29,0
106,Pen5guin,115.00,15,0
107,Saki <3,114.75,42,0
108,DaS8157,114.75,65,0
109,blanK,112.80,25,0
110,ジム,112.80,29,0
111,旋風,112.80,21,0
112,fpsboone,112.64,50,0
113,R A P T U R E,112.00,13,0
114,zCrackdown,112.00,5,0
115,Regen,111.18,56,0
116,hatch,110.40,34,0
117,bradyvision,110.29,38,0
118,NickatNi7e,110.29,67,0
119,XHANABUSER,109.60,11,0
120,Cyferzn,109.60,24,0
121,MJ5044,109.44,7,0
122,Calbeast,109.44,21,0
123,YANKEE 6 XRAY,109.44,45,0
